"lake","diversity","prod","temp","rain","sun"
"lake2",4,855.139234855629,16.645136128418,129.373045981599,3.83762709402162
"lake6",13,989.043537098743,17.0012298041843,156.722188986823,3.83248849615932
"lake10",19,1034.01014528171,16.627205789461,153.116382051556,3.87023684975365
"lake6",19,1054.35494390176,16.5654308024076,159.651694212877,4.05827879216323
"lake3",18,998.599883474925,16.7852178897526,133.583613067489,3.89848803749694
"lake11",15,994.157971126525,17.0607814234111,147.1256036942,4.16754480709161
"lake5",2,942.145528423778,16.7011250149353,152.149390795369,4.00492952756165
"lake10",13,1038.51025190649,17.4607164278871,154.508405239914,3.811242427887
"lake9",17,992.974667408981,16.580458524522,140.798672993907,4.17829042691171
"lake8",12,964.275557359436,17.2675304552463,128.901053569088,4.00184035839716
"lake5",9,868.367078140627,17.0797979742235,135.485880875597,3.90123596197421
"lake4",5,957.096509379249,17.1700026681282,148.934934845053,3.79499249493897
"lake5",14,1093.5891819669,17.1442023460406,160.511850989573,4.2722056857725
"lake10",20,1116.96875880393,17.3587900004187,158.462019245347,4.19162864303394
"lake7",20,1048.86284002756,17.5046702217883,147.172378489614,3.94640513496834
"lake8",11,982.921257910296,16.9200333231781,132.794774873387,3.82558847431269
"lake5",15,1101.4527530748,17.1232467711459,147.389773753815,4.04135309797148
"lake8",11,1024.20361100787,17.2571857452125,147.567729120609,3.99522192171768
"lake5",4,879.508205259538,17.0143299938099,133.071107019282,3.90592921329054
"lake6",2,892.99111454225,16.7530503122881,141.342808208881,3.75852322045638
"lake3",11,999.407196221996,17.1017856889934,160.515743265928,3.94901856386931
"lake6",15,1059.669789129,16.8774660480602,159.691739769775,3.97275979980255
"lake6",6,984.227874042268,17.3806197358572,153.321300992723,4.11864649505748
"lake7",8,1007.67534941277,17.0568420735398,153.442836073065,4.16025116181762
"lake4",1,876.142420831041,16.7912380945646,162.33688735737,3.97876488390202
"lake5",11,1003.16410646814,17.182768942907,165.561173351078,3.91739772079775
"lake8",17,1030.55280452418,17.6970266240075,166.723516667583,4.13461506174627
"lake5",11,1101.19520674367,17.7859138685182,144.94313992044,4.09709174761827
"lake8",16,1014.91371861312,17.1048180281095,160.604755512176,4.03689143559899
"lake6",18,1064.45574168044,16.7491680623522,145.998010040438,4.0038783156099
"lake5",16,1097.32842514836,17.16650524978,151.841237307771,4.10994358598144
"lake4",12,1069.44910096249,17.0618943270584,144.261138379247,4.10635103525993
"lake9",10,968.337531484238,16.2528520524877,138.308433680747,4.0358913865413
"lake5",4,884.156837555149,16.3455570516292,146.412060877351,4.10703567678609
"lake2",7,957.883601675135,17.2305791431859,124.245992601053,4.05792861473514
"lake5",3,911.439723504082,16.9835586744987,150.861421053362,3.93611786237038
"lake6",8,848.444941585695,17.1270691948774,140.755595716055,3.94943778704432
"lake6",18,998.286463404478,16.6681914788169,141.012931879938,4.10888194427237
"lake1",2,934.846336975083,16.6378300602249,160.48693917967,3.85498907557738
"lake4",7,965.327974360678,16.6777312076888,153.511718534724,3.87985102827547
"lake3",3,982.045089098798,17.0683010287223,146.768963420485,3.93669169588376
"lake6",15,1007.58397869929,17.1301444278619,134.899292397283,3.98115341077256
"lake6",4,921.69845758145,17.385442313331,160.794030539974,3.80143787741331
"lake9",17,1082.53959393703,17.2114823592128,138.330341286048,4.24355072317546
"lake6",12,967.409719633381,17.8652448969954,138.858713990964,3.84458112173666
"lake8",9,934.734001071889,16.5605991876326,154.728622286339,3.86128580396055
"lake7",12,993.454952986892,17.0361274182252,137.214667156123,4.00807879355471
"lake9",14,961.040677240064,17.1914364217102,129.602063704056,4.04666517774061
"lake4",15,1155.67020043058,17.2010741578401,156.850379975058,4.07703402219886
"lake7",11,913.096244003015,16.5752173353408,135.11330225496,3.93406814484624
"lake9",8,915.908803171045,16.9512716533935,164.589319144192,3.8639596770003
"lake4",9,1007.22659289902,16.5191289790522,144.791436085795,3.85582528469598
"lake7",9,1022.42171015335,16.7851101573066,164.009607137339,4.00329390940797
"lake2",14,973.589283916694,16.8889904102688,140.558867045356,3.95906516840896
"lake6",13,1011.28837339663,16.8487064513006,148.208380040178,3.97390523648267
"lake4",10,1011.41050748263,17.0234850425169,153.680665004159,4.15225382554008
"lake7",10,1047.83218574253,17.0773462485153,163.389933666007,3.8873507137858
"lake9",12,1004.21419423482,16.7809689446301,149.085849203522,4.09237059279945
"lake5",16,956.560468133116,16.5991622127304,156.684150399047,3.98530825616293
"lake10",10,972.275465484051,17.1146472154587,146.167954972267,3.76628145498542
"lake3",1,986.125251836496,16.826900627272,152.040170957575,3.84205382389908
"lake8",19,1096.26485104716,17.2690440404402,152.510582319853,4.24569835947797
"lake4",8,931.9722396373,16.898390157219,141.94423206596,4.08187713008429
"lake8",14,999.786844724296,16.5279265946905,156.723901663733,3.98967712658359
"lake7",7,844.433141706017,17.0655382760364,138.505117465315,4.01808709214797
"lake7",9,1024.4999760873,17.1219525881101,152.68757054038,3.98230856130524
"lake7",11,1080.12722961881,16.8705469318148,171.779857381638,4.1131704603306
"lake6",5,951.269138824666,17.1074441041271,143.840090812373,4.04407576113207
"lake4",10,1095.34686500974,16.7216201323043,143.028476050999,4.10132361267091
"lake1",2,931.857588076961,17.0728438460492,155.573218095114,4.03844061472461
"lake4",1,966.111247101253,17.1944163261806,139.637338246476,3.86609878822836
"lake4",5,904.2951107021,17.2302474519613,139.514016501153,4.02255580053169
"lake5",7,1017.57143031882,16.7114216416516,162.157465947615,4.02569178812294
"lake7",15,1036.73131323069,17.1136807914335,134.60539243397,3.94787289794074
"lake2",5,960.716235805451,17.3310875861661,140.711180376992,3.94604057388069
"lake2",3,916.585688707567,16.8084134597335,131.133584531855,3.82940208412621
"lake5",20,1105.7111028713,16.9853964605477,157.279897048346,4.20003548602786
"lake9",13,1048.67194145856,16.9353173004136,164.694507778589,4.16886087250491
"lake6",12,1092.92823470108,17.411117738709,152.162212421395,4.07401082051686
"lake4",7,920.234775417113,17.0945800083711,151.43266255647,4.02821725690466
"lake4",1,947.676761686333,16.3370983912555,135.920223805625,3.91441086328632
"lake4",12,1036.77350706633,17.2650377126646,150.869058166173,4.09098277746742
"lake2",6,948.714578314752,16.7833715478428,138.877503763328,4.08339356419462
"lake6",13,1064.84503823817,17.2358996274318,170.464680470164,4.05532687966059
"lake6",7,936.066279576508,16.3387379668285,170.086696002544,3.88774454308963
"lake10",12,997.805522948869,17.0226982015525,165.790219201188,4.07216787752495
"lake4",19,1145.9622649008,17.7847389401463,157.166815533288,4.21534764608688
"lake7",18,1004.70551160681,17.2401916483804,158.076808911026,3.97731712722885
"lake11",13,1025.48774816571,17.2945428868278,156.383617536305,4.03082339814736
"lake4",9,912.94516704517,16.7964842026798,143.175990135529,3.86066299194455
"lake5",12,1036.30757262461,16.8686987418401,166.858103110848,4.04894909061147
"lake6",20,1122.38616718311,16.9173572293948,153.803938890542,3.92802292193105
"lake9",16,1034.1138485065,17.4422607040746,151.28203853275,4.10359577436014
"lake4",11,1093.49408326886,17.2695341482771,145.972183772231,4.03832076301647
"lake7",19,1119.52089942093,17.1226247424046,167.730134717071,4.01400627598398
"lake8",16,1070.73643372793,16.5272730176914,163.026307355941,4.14954042212358
"lake8",7,980.331659519842,17.0581063339695,144.646257048716,3.94748963304702
"lake7",19,1077.67646260651,16.7946749748291,165.972778481803,4.04059864961833
"lake10",13,1048.05094223772,17.0278278830765,154.685835188819,3.99184998249682
"lake6",9,1037.08066990252,16.8615109499389,159.422914296689,3.89999516794185
